Event	ID	Name			Wwise Object Path	Notes
	3789036	fs_father_stairs_down_stop			\Global_Events\Character\Footsteps\_old\Father\fs_father_stairs_down_stop	
	10745613	int_rotator_experimental_high_stop			\Global_Events\Chapter_Global\Lucie\int_rotator_experimental_high_stop	
	10990763	int_portal_fishy_rotator3_stop			\Global_Events\Chapter_Global\Lucie\int_portal_fishy_rotator3_stop	
	24235850	int_ch12_rotator_constant_meet_chunk_3_upper_stop			\Global_Events\Chapter_Global\Lucie\int_ch12_rotator_constant_meet_chunk_3_upper_stop	
	26793189	fs_childadult_ladder_up_play			\Global_Events\Character\Footsteps\_old\ChildAdult\fs_childadult_ladder_up_play	
	27050207	int_rotator_kora_pad_play			\Global_Events\Chapter_Global\Lucie\int_rotator_kora_pad_play	
	32103499	int_mover_water_p_light_play			\Global_Events\Mover Library\int_mover_water_p_light_play	
	32421015	lvl_splines_chunk1_posttitle_texture_stop			\Global_Events\Chapter_Global\Lucie\lvl_splines_chunk1_posttitle_texture_stop	
	32471398	int_mover_ch11_harmonic_slides_play			\Global_Events\Chapter_Global\Lucie\int_mover_ch11_harmonic_slides_play	
	43458818	int_splines_mobius_subbass_stop			\Global_Events\Chapter_Global\Lucie\int_splines_mobius_subbass_stop	
	44080414	flowerpuzz_ww_layer1_play			\Sandbox_Events_Lucie\Test\chunkjam\flowerpuzz_ww_layer1_play	
	46363839	fs_mother_walk_play			\Global_Events\Character\Footsteps\_old\Mother\fs_mother_walk_play	
	46544786	rot_reunion_soundlight_stop			\Global_Events\Vertical Slice_unused_but_keep\VS_04_Reunion\rot_reunion_soundlight_stop	
	46788567	setstate_village_amb_revert			\Chapter_Events\Hub_Village\setstate_village_amb_revert	
	47252206	dragger_test_water_simple_stop			\Sandbox_Events_Lucie\Test\Dragger\dragger_test_water_simple_stop	
	48364099	fs_nomad_stairs_down_stop			\Global_Events\Character\Footsteps\Nomad\fs_nomad_stairs_down_stop	
	48590776	int_rotator_handle_in_play			\Sandbox_Events_Lucie\Test\Rotator\int_rotator_handle_in_play	
	49144144	mus_minipuzzle_rubiksphere_stop			\Chapter_Events\Post_Launch\Mini Puzzles\mus_minipuzzle_rubiksphere_stop	
	62572233	dragger_neutral_chess_stop			\Sandbox_Events_Lucie\Test\Dragger\dragger_neutral_chess_stop	
	63367181	int_dragger_splines_tower_sweetner_play			\Global_Events\Chapter_Global\Lucie\int_dragger_splines_tower_sweetner_play	
	64383591	lvl_lilly2_music_stop			\Sandbox_Events_Lucie\Test\Music\lvl_lilly2_music_stop	
	73143610	int_sailing_mover_bells_play			\Global_Events\Chapter_Global\Lucie\int_sailing_mover_bells_play	
	74456025	int_rotator_physical_pulley_stop_01			\Global_Events\Chapter_Global\Lucie\int_rotator_physical_pulley_stop_01	
	76388585	lvl_splines_rising_pad_02_stop			\Global_Events\Chapter_Global\Lucie\lvl_splines_rising_pad_02_stop	
	76470079	fs_father_stairs_up_play			\Global_Events\Character\Footsteps\_old\Father\fs_father_stairs_up_play	
	79903316	lvl_village_boat_arrive_left_pitched_play			\Chapter_Events\Hub_Village\lvl_village_boat_arrive_left_pitched_play	
	80635587	lvl_chidres_geo_up_play			\Global_Events\Chapter_Global\Lucie\lvl_chidres_geo_up_play	
	87208798	flowerpuzz_play			\Sandbox_Events_Lucie\Test\chunkjam\flowerpuzz_play	
	91563495	lvl_village_postlaunch_PH1_ST2_storyteller_complete_enter			\Chapter_Events\Post_Launch\LU1\Village\Phase 1\lvl_village_postlaunch_PH1_ST2_storyteller_complete_enter	
	95955661	fs_npcs_ladder_up_stop			\Global_Events\Character\Footsteps\NPCS\fs_npcs_ladder_up_stop	
	98237502	lvl_unfolding_pencil_post_play			\Global_Events\Chapter_Global\Lucie\lvl_unfolding_pencil_post_play	
	102834449	lvl_sunken_chunk3_dooropen_play			\Global_Events\Chapter_Global\Lucie\lvl_sunken_chunk3_dooropen_play	
	102880698	nav_wheat_piano			\Sandbox_Events_Lucie\Test\chunkjam\nav_wheat_piano	
	103672653	lvl_village_postlaunch_PH2_ST1_storyteller_exit			\Chapter_Events\Post_Launch\LU1\Village\Phase 2\lvl_village_postlaunch_PH2_ST1_storyteller_exit	
	106149884	int_rotator_wheat_tonal_shimmer_flower_play			\Global_Events\Chapter_Global\Lucie\int_rotator_wheat_tonal_shimmer_flower_play	
	106220599	dragger_abstract_stop			\Sandbox_Events_Lucie\Test\Dragger\dragger_abstract_stop	
	107471136	int_mover_family_khaen_stop_01			\Global_Events\Chapter_Global\Lucie\int_mover_family_khaen_stop_01	
	107873186	fs_npcs_ladder_down_play			\Global_Events\Character\Footsteps\NPCS\fs_npcs_ladder_down_play	
	109153041	trumpetz_stop			\Sandbox_Events_Lucie\Test\Animation_Tests\trumpetz_stop	
	110552818	lvl_splines_rising_pad_01_play			\Global_Events\Chapter_Global\Lucie\lvl_splines_rising_pad_01_play	
	113045667	lvl_village_postlaunch_PH2_ST3_storyteller_exit			\Chapter_Events\Post_Launch\LU1\Village\Phase 2\lvl_village_postlaunch_PH2_ST3_storyteller_exit	
	121407710	nav_wheat_plain_play			\Global_Events\Chapter_Global\Lucie\nav_wheat_plain_play	
	122804943	lvl_minipuzzle_rotatingcubes_button_b_play			\Chapter_Events\Post_Launch\Mini Puzzles\lvl_minipuzzle_rotatingcubes_button_b_play	
	123414620	int_mover_ch11_sweetener_water_combined_play			\Global_Events\Chapter_Global\Lucie\int_mover_ch11_sweetener_water_combined_play	
	123949465	dragger_hefty_lighter_stop			\Sandbox_Events_Lucie\Test\Dragger\dragger_hefty_lighter_stop	
	128801399	int_mover_ch11_physical_cranky_vari_play			\Global_Events\Chapter_Global\Lucie\int_mover_ch11_physical_cranky_vari_play	
	131220106	mus_minipuzzle_le2_invertedtower_stop			\Chapter_Events\Post_Launch\Mini Puzzles\mus_minipuzzle_le2_invertedtower_stop	
	132121059	door_boatem_gate_closes_play			\Global_Events\Chapter_Global\Lucie\door_boatem_gate_closes_play	
	144227403	ui_storyteller_continue_rescue_child_play			\Global_Events\UI Sounds\Storyteller\ui_storyteller_continue_rescue_child_play	
	146937541	dragger_belltower_play			\Global_Events\Chapter_Global\Lucie\dragger_belltower_play	
	147117701	lvl_village_wave_transition_01_play			\Global_Events\Chapter_Global\Lucie\lvl_village_wave_transition_01_play	
	149871376	fs_father_ladder_down_play			\Global_Events\Character\Footsteps\_old\Father\fs_father_ladder_down_play	
